5.000000,0.646000
5.000000,0.647000
5.000000,0.648000
5.000000,0.649000
5.000000,0.650000
5.000000,0.651000
5.000000,0.652000
5.000000,0.653000
5.000000,0.654000
5.000000,0.655000
5.000000,0.656000
5.000000,0.657000
5.000000,0.658000
5.000000,0.659000
5.000000,0.660000
5.000000,0.661000
5.000000,0.662000
5.000000,0.663000
5.000000,0.664000
5.000000,0.665000
5.000000,0.666000
5.000000,0.667000
5.000000,0.668000
5.000000,0.669000
5.000000,0.670000
5.000000,0.671000
5.000000,0.672000
5.000000,0.673000
5.000000,0.674000
5.000000,0.675000
5.000000,0.676000
5.000000,0.677000
5.000000,0.678000
5.000000,0.679000
5.000000,0.680000
5.000000,0.681000
5.000000,0.682000
5.000000,0.683000
5.000000,0.684000
5.000000,0.685000
5.000000,0.686000
5.000000,0.687000
5.000000,0.688000
5.000000,0.689000
5.000000,0.690000
5.000000,0.691000
5.000000,0.692000
5.000000,0.693000
5.000000,0.694000
5.000000,0.695000
5.000000,0.696000
5.000000,0.697000
5.000000,0.698000
5.000000,0.699000
5.000000,0.700000
5.000000,0.701000
5.000000,0.702000
5.000000,0.703000
5.000000,0.704000
5.000000,0.705000
5.000000,0.706000
5.000000,0.707000
5.000000,0.708000
5.000000,0.709000
5.000000,0.710000
5.000000,0.711000
5.000000,0.712000
5.000000,0.713000
5.000000,0.714000
5.000000,0.715000
5.000000,0.716000
5.000000,0.717000
5.000000,0.718000
5.000000,0.719000
5.000000,0.720000
5.000000,0.721000
5.000000,0.722000
5.000000,0.723000
5.000000,0.724000
5.000000,0.725000
5.000000,0.726000
5.000000,0.727000
5.000000,0.728000
5.000000,0.729000
5.000000,0.730000
5.000000,0.731000
5.000000,0.732000
5.000000,0.733000
5.000000,0.734000
5.000000,0.735000
5.000000,0.736000
5.000000,0.737000
5.000000,0.738000
5.000000,0.739000
5.000000,0.740000
5.000000,0.741000
5.000000,0.742000
5.000000,0.743000
5.000000,0.744000
5.000000,0.745000
5.000000,0.746000
5.000000,0.747000
5.000000,0.748000
5.000000,0.749000
5.000000,0.750000
5.000000,0.751000
5.000000,0.752000
5.000000,0.753000
5.000000,0.754000
5.000000,0.755000
5.000000,0.756000
5.000000,0.757000
5.000000,0.758000
5.000000,0.759000
5.000000,0.760000
5.000000,0.761000
5.000000,0.762000
5.000000,0.763000
5.000000,0.764000
5.000000,0.765000
5.000000,0.766000
5.000000,0.767000
5.000000,0.768000
5.000000,0.769000
5.000000,0.770000
5.000000,0.771000
5.000000,0.772000
5.000000,0.773000
5.000000,0.774000
5.000000,0.775000
5.000000,0.776000
5.000000,0.777000
5.000000,0.778000
5.000000,0.779000
5.000000,0.780000
5.000000,0.781000
5.000000,0.782000
5.000000,0.783000
5.000000,0.784000
5.000000,0.785000
5.000000,0.786000
5.000000,0.787000
5.000000,0.788000
5.000000,0.789000
5.000000,0.790000
5.000000,0.791000
5.000000,0.792000
5.000000,0.793000
5.000000,0.794000
5.000000,0.795000
5.000000,0.796000
5.000000,0.797000
5.000000,0.798000
5.000000,0.799000
5.000000,0.800000
5.000000,0.801000
5.000000,0.802000
5.000000,0.803000
5.000000,0.804000
5.000000,0.805000
5.000000,0.806000
5.000000,0.807000
5.000000,0.808000
5.000000,0.809000
5.000000,0.810000
5.000000,0.811000
5.000000,0.812000
5.000000,0.813000
5.000000,0.814000
5.000000,0.815000
5.000000,0.816000
5.000000,0.817000
5.000000,0.818000
5.000000,0.819000
5.000000,0.820000
5.000000,0.821000
5.000000,0.822000
5.000000,0.823000
5.000000,0.824000
5.000000,0.825000
5.000000,0.826000
5.000000,0.827000
5.000000,0.828000
5.000000,0.829000
5.000000,0.830000
5.000000,0.831000
5.000000,0.832000
5.000000,0.833000
5.000000,0.834000
5.000000,0.835000
5.000000,0.836000
5.000000,0.837000
5.000000,0.838000
5.000000,0.839000
5.000000,0.840000
5.000000,0.841000
5.000000,0.842000
5.000000,0.843000
5.000000,0.844000
5.000000,0.845000
5.000000,0.846000
5.000000,0.847000
5.000000,0.848000
5.000000,0.849000
5.000000,0.850000
5.000000,0.851000
5.000000,0.852000
5.000000,0.853000
5.000000,0.854000
5.000000,0.855000
5.000000,0.856000
5.000000,0.857000
5.000000,0.858000
5.000000,0.859000
5.000000,0.860000
5.000000,0.861000
5.000000,0.862000
5.000000,0.863000
5.000000,0.864000
5.000000,0.865000
5.000000,0.866000
5.000000,0.867000
5.000000,0.868000
5.000000,0.869000
5.000000,0.870000
5.000000,0.871000
5.000000,0.872000
5.000000,0.873000
5.000000,0.874000
5.000000,0.875000
5.000000,0.876000
5.000000,0.877000
5.000000,0.878000
5.000000,0.879000
5.000000,0.880000
5.000000,0.881000
5.000000,0.882000
5.000000,0.883000
5.000000,0.884000
5.000000,0.885000
5.000000,0.886000
5.000000,0.887000
5.000000,0.888000
5.000000,0.889000
5.000000,0.890000
5.000000,0.891000
5.000000,0.892000
5.000000,0.893000
5.000000,0.894000
5.000000,0.895000
5.000000,0.896000
5.000000,0.897000
5.000000,0.898000
5.000000,0.899000
5.000000,0.900000
5.000000,0.901000
5.000000,0.902000
5.000000,0.903000
5.000000,0.904000
5.000000,0.905000
5.000000,0.906000
5.000000,0.907000
5.000000,0.908000
5.000000,0.909000
5.000000,0.910000
5.000000,0.911000
5.000000,0.912000
5.000000,0.913000
5.000000,0.914000
5.000000,0.915000
5.000000,0.916000
5.000000,0.917000
5.000000,0.918000
5.000000,0.919000
5.000000,0.920000
5.000000,0.921000
5.000000,0.922000
5.000000,0.923000
5.000000,0.924000
5.000000,0.925000
5.000000,0.926000
5.000000,0.927000
5.000000,0.928000
5.000000,0.929000
5.000000,0.930000
5.000000,0.931000
5.000000,0.932000
5.000000,0.933000
5.000000,0.934000
5.000000,0.935000
5.000000,0.936000
5.000000,0.937000
5.000000,0.938000
5.000000,0.939000
5.000000,0.940000
5.000000,0.941000
5.000000,0.942000
5.000000,0.943000
5.000000,0.944000
5.000000,0.945000
5.000000,0.946000
5.000000,0.947000
5.000000,0.948000
5.000000,0.949000
5.000000,0.950000
5.000000,0.951000
5.000000,0.952000
5.000000,0.953000
5.000000,0.954000
5.000000,0.955000
5.000000,0.956000
5.000000,0.957000
5.000000,0.958000
5.000000,0.959000
5.000000,0.960000
5.000000,0.961000
5.000000,0.962000
5.000000,0.963000
5.000000,0.964000
5.000000,0.965000
5.000000,0.966000
5.000000,0.967000
5.000000,0.968000
5.000000,0.969000
5.000000,0.970000
5.000000,0.971000
5.000000,0.972000
5.000000,0.973000
5.000000,0.974000
5.000000,0.975000
5.000000,0.976000
5.000000,0.977000
5.000000,0.978000
5.000000,0.979000
5.000000,0.980000
5.000000,0.981000
5.000000,0.982000
5.000000,0.983000
5.000000,0.984000
5.000000,0.985000
5.000000,0.986000
5.000000,0.987000
5.000000,0.988000
5.000000,0.989000
5.000000,0.990000
5.000000,0.991000
5.000000,0.992000
5.000000,0.993000
5.000000,0.994000
5.000000,0.995000
5.000000,0.996000
5.000000,0.997000
5.000000,0.998000
5.000000,0.999000
5.000000,1.000000
